piece	file	tempo_AB	qpm_AB	tempo_HB	qpm_HB	qpm_range
op42_20	op42_20.chords.tsv	𝅘𝅥.=96	144	𝅘𝅥.=96	144	144
op42_13b	op42_13b.chords.tsv	𝅘𝅥=92	92	𝅘𝅥=80	80	80–92
op42_18	op42_18.chords.tsv	𝅘𝅥.=96	144	𝅘𝅥.=96	144	144
op42_05	op42_05.chords.tsv	𝅘𝅥=126	126	𝅘𝅥=112	112	112–126
op42_07	op42_07.chords.tsv	𝅘𝅥=144	144	𝅘𝅥=120	120	120–144
op42_13a	op42_13a.chords.tsv	𝅘𝅥.=108	162	𝅘𝅥.=84	126	126–162
op42_14	op42_14.chords.tsv	𝅘𝅥=92	92	𝅘𝅥=88	88	88–92
op42_17	op42_17.chords.tsv	𝅘𝅥=108	108	𝅘𝅥=108	108	108
op42_16	op42_16.chords.tsv	Allegrovivace	144	Allegrovivace	144	144
op42_03	op42_03.chords.tsv	𝅘𝅥=72	72	𝅘𝅥=84	84	72–84
op42_06	op42_06.chords.tsv	𝅘𝅥=126	126	𝅘𝅥=88	88	88–126
op42_12	op42_12.chords.tsv	𝅘𝅥=126	126	𝅘𝅥=88	88	88–126
op42_19	op42_19.chords.tsv	𝅘𝅥.=96	144	𝅘𝅥.=96	144	144
op42_01a	op42_01a.chords.tsv	𝅘𝅥=92	92	𝅘𝅥=88	88	88–92
op42_09	op42_09.chords.tsv	𝅘𝅥=80	80	𝅘𝅥=100	100	80–100
op42_02	op42_02.chords.tsv	𝅘𝅥=112	112	𝅘𝅥=90	90	90–112
op42_10	op42_10.chords.tsv	𝅘𝅥=144	144	𝅘𝅥=132	132	132–144
op42_04	op42_04.chords.tsv	𝅘𝅥=92	92	𝅘𝅥=82	82	82–92
op42_08	op42_08.chords.tsv	Adagiomisterioso	71	Adagiomisterioso	71	71
op42_15	op42_15.chords.tsv	𝅘𝅥.=92	138	𝅘𝅥.=90	135	135–138
op42_11	op42_11.chords.tsv	𝅘𝅥=132	132	𝅘𝅥=116	116	116–132
op42_01b	op42_01b.chords.tsv	𝅘𝅥=112	112	𝅘𝅥=96	96	96–112
